INSERT INTO TheoryIndex VALUES(87,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11899999999999999467,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO PC alphaS 119',0,1);
INSERT INTO TheoryIndex VALUES(88,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11999999999999999555,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO PC alphaS 120',0,1);
INSERT INTO TheoryIndex VALUES(89,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.8600000000000000976,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.2379999999999999893,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO baseline for small-x, PC, damp ON',0,1);
INSERT INTO TheoryIndex VALUES(90,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.8600000000000000976,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,1,'NLL','POLE',1.5100000000000000088,1.5100000000000000088,1.2379999999999999893,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO+NLL small-x, PC, damp ON',0,1);
INSERT INTO TheoryIndex VALUES(91,2,'FONLL-C',1,0,'EXA',1.0,1.0,5,5,5,1.8600000000000000976,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.2379999999999999893,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNLO baseline for small-x, PC, damp ON',0,1);
INSERT INTO TheoryIndex VALUES(92,2,'FONLL-C',1,0,'EXA',1.0,1.0,5,5,5,1.8600000000000000976,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,1,'NLL','POLE',1.5100000000000000088,1.5100000000000000088,1.2379999999999999893,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNLO+NLL small-x, PC, damp ON	',0,1);
INSERT INTO TheoryIndex VALUES(93,0,'ZM-VFNS',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.13000000000000000444,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 LO FC alphas 0.130',0,1);
INSERT INTO TheoryIndex VALUES(94,0,'ZM-VFNS',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.13000000000000000444,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 LO PC alphas 0.130',0,1);
INSERT INTO TheoryIndex VALUES(95,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.8600000000000000976,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO baseline for small-x, FC, damp ON',0,1);
INSERT INTO TheoryIndex VALUES(96,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.8600000000000000976,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,1,'NLL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO+NLL small-x, FC, damp ON',0,1);
INSERT INTO TheoryIndex VALUES(97,2,'FONLL-C',1,0,'EXA',1.0,1.0,5,5,5,1.8600000000000000976,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNLO baseline for small-x, FC, damp ON',0,1);
INSERT INTO TheoryIndex VALUES(98,2,'FONLL-C',1,0,'EXA',1.0,1.0,5,5,5,1.8600000000000000976,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,1,'NLL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNLO+NLL small-x, FC, damp ON',0,1);
INSERT INTO TheoryIndex VALUES(99,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.3799999999999998934,1.3799999999999998934,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC mc=1.38',0,1);
INSERT INTO TheoryIndex VALUES(100,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.6399999999999999023,1.6399999999999999023,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC mc=1.64',0,1);
INSERT INTO TheoryIndex VALUES(101,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.3799999999999998934,1.3799999999999998934,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO PC mc=1.38',0,1);
INSERT INTO TheoryIndex VALUES(102,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.6399999999999999023,1.6399999999999999023,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO PC mc=1.64',0,1);
INSERT INTO TheoryIndex VALUES(103,1,'FONLL-B',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11200000000000000233,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO FC alphaS 112',0,1);
INSERT INTO TheoryIndex VALUES(104,1,'FONLL-B',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.1140000000000000041,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO FC alphaS 114',0,1);
INSERT INTO TheoryIndex VALUES(105,1,'FONLL-B',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.12199999999999999733,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO FC alphaS 122',0,1);
INSERT INTO TheoryIndex VALUES(106,1,'FONLL-B',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.12399999999999999911,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO FC alphaS 124',0,1);
INSERT INTO TheoryIndex VALUES(107,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11200000000000000233,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 112',0,1);
INSERT INTO TheoryIndex VALUES(108,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.1140000000000000041,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 114',0,1);
INSERT INTO TheoryIndex VALUES(109,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.12199999999999999733,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 122',0,1);
INSERT INTO TheoryIndex VALUES(110,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.12399999999999999911,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 124',0,1);
INSERT INTO TheoryIndex VALUES(111,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11300000000000000321,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 113',0,1);
INSERT INTO TheoryIndex VALUES(112,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11500000000000000499,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 115',0,1);
INSERT INTO TheoryIndex VALUES(113,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.12099999999999999644,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 121',0,1);
INSERT INTO TheoryIndex VALUES(114,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.12299999999999999822,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 123',0,1);
INSERT INTO TheoryIndex VALUES(115,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.105999999999999997,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 106',0,1);
INSERT INTO TheoryIndex VALUES(116,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.10799999999999999877,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 108',0,1);
INSERT INTO TheoryIndex VALUES(117,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11000000000000000055,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 110',0,1);
INSERT INTO TheoryIndex VALUES(118,1,'FONLL-B',1,0,'TRN',1.0,1.0,3,3,3,1.0,0.33910243243870075158,1.5099899999999999433,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO PC nf=3',0,1);
INSERT INTO TheoryIndex VALUES(119,2,'FONLL-C',1,0,'TRN',1.0,1.0,3,3,3,1.0,0.34548340338506211555,1.5099899999999999433,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO PC nf=3',0,1);
INSERT INTO TheoryIndex VALUES(120,1,'FONLL-B',0,1,'TRN',1.0,1.0,4,4,4,1.6499999999999999111,0.21265840120571843918,4.9199900000000003075,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO FC nf=4',0,1);
INSERT INTO TheoryIndex VALUES(121,2,'FONLL-C',0,1,'TRN',1.0,1.0,4,4,4,1.6499999999999999111,0.21349024534190588764,4.9199900000000003075,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC nf=4',0,1);
INSERT INTO TheoryIndex VALUES(122,1,'FONLL-B',1,0,'TRN',1.0,1.0,4,4,4,1.0,0.21265840120571843918,4.9199900000000003075,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO PC nf=4',0,1);
INSERT INTO TheoryIndex VALUES(123,2,'FONLL-C',1,0,'TRN',1.0,1.0,4,4,4,1.0,0.21349024534190588764,4.9199900000000003075,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO PC nf=4',0,1);
INSERT INTO TheoryIndex VALUES(124,1,'FONLL-B',0,1,'TRN',1.0,1.0,6,6,6,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO FC nf=6',0,1);
INSERT INTO TheoryIndex VALUES(125,2,'FONLL-C',0,1,'TRN',1.0,1.0,6,6,6,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC nf=6',0,1);
INSERT INTO TheoryIndex VALUES(126,1,'FONLL-B',1,0,'TRN',1.0,1.0,6,6,6,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO PC nf=6',0,1);
INSERT INTO TheoryIndex VALUES(127,2,'FONLL-C',1,0,'TRN',1.0,1.0,6,6,6,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO PC nf=6',0,1);
INSERT INTO TheoryIndex VALUES(128,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.6399999999999999023,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO baseline for small-x, FC, damp ON',0,1);
INSERT INTO TheoryIndex VALUES(129,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.6399999999999999023,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,1,'NLL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NLO+NLL small-x, FC, damp ON',0,1);
INSERT INTO TheoryIndex VALUES(130,2,'FONLL-C',1,0,'EXA',1.0,1.0,5,5,5,1.6399999999999999023,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNLO baseline for small-x, FC, damp ON',0,1);
INSERT INTO TheoryIndex VALUES(131,2,'FONLL-C',1,0,'EXA',1.0,1.0,5,5,5,1.6399999999999999023,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,1,'NLL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNLO+NLL small-x, FC, damp ON',0,1);
INSERT INTO TheoryIndex VALUES(132,1,'FONLL-B',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,1,0.0074922642371751165674,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 QED NLO central',0,1);
